Condition; FLEW_TO_SS;                              Alpha pilot achievement (Fly to the Sun Station)
Condition; THERE_IS_BUT_VOID;                       Die hard achievement - (1000 damages healed)
Condition; DESTROYED_TIMELINE_LAST_SAVE;            Destroyed Timeline (can be triggered multiple times)
Condition; GAME_OVER_LAST_SAVE;                     Triggered game over
----------------------------------------------------------------------------------------------------
Signal; 10; Traveler    ; Esker
Signal; 11; Traveler    ; Chert
Signal; 12; Traveler    ; Riebeck
Signal; 13; Traveler    ; Gabbro
Signal; 14; Traveler    ; Feldspar
Signal; 15; Traveler    ; Nomai
Signal; 16; Traveler    ; Prisoner
Signal; 25; Quantum     ; Quantum Moon
Signal; 20; Quantum     ; Ember Twin Shard
Signal; 21; Quantum     ; Timber Hearth Museum Shard
Signal; 22; Quantum     ; Timber Hearth Grove Shard
Signal; 23; Quantum     ; Brittle Hollow Shard
Signal; 24; Quantum     ; Giant's Deep Shard
Signal; 31; Escape Pod  ; Brittle Hollow
Signal; 30; Escape Pod  ; Ember Twin
Signal; 32; Escape Pod  ; Dark Bramble
Signal; 60; Hide & Seek ; Galena
Signal; 61; Hide & Seek ; Tephra
Signal; 100; Radio      ; Radio Tower
Signal; 101; Radio      ; Satellite
----------------------------------------------------------------------------------------------------
Fact; S_SUNSTATION_X1       ;Sun Station; Upper level - Scroll (in wall), -Read 1st node
Fact; S_SUNSTATION_X4       ;Sun Station; Lower level - Nomai computer - Read any ring
Fact; S_SUNSTATION_X2       ;Sun Station; Lower level - Ash Twin Stone (on bench) - Read 2nd node
Fact; S_SUNSTATION_X3       ;Sun Station; Lower level - Ash Twin Stone (on bench) - Read 5th node (left)

Fact; TT_WARP_TOWERS_X1     ;Ash Twin;                  Twins, Brittle Hollow or Sun Station Tower - Any of these 3 texts, Read the 1st node
Fact; TT_WARP_TOWERS_X2     ;Ash Twin;                  Brittle Hollow tower text - Read 4th node (up)
Fact; IP_ZONE_4_X2              ;The Stranger;Reservoir; Reach the Reservoir
Fact; IP_PRISON_X1              ;The Stranger;Reservoir; Enter the Bell
Fact; IP_PRISON_X2              ;The Stranger;Reservoir; Look at the Sarcophagus
Fact; IP_ZONE_4_X3              ;The Stranger;Reservoir; Look at the Screen in the Code Room
Fact; IP_ZONE_4_X4              ;The Stranger;Reservoir; Reach the Dam Control Room
Fact; IP_ZONE_4_STORY_X2        ;The Stranger;Reservoir; Reel Story 4 (Burned part - 2/57)
Fact; IP_ZONE_4_STORY_X1        ;The Stranger;Reservoir; Reel Story 4 (Bell Lowered in Water - 45/57)
Fact; IP_DREAM_LAKE_R1          ;The Stranger;Subterranean Lake; Outside - Look into the bell
Fact; IP_DREAM_LAKE_R2          ;The Stranger;Subterranean Lake; Outside - Watch the Vision
Fact; IP_DREAM_LAKE_X1          ;The Stranger;Subterranean Lake; Reach Subterranean Lake
Fact; IP_DREAM_LAKE_X2          ;The Stranger;Subterranean Lake; Attempt to Open the Sealed Sarcophagus
Fact; IP_ZONE_2_CODE_R1         ;The Stranger;Subterranean Lake; Vision form the Sarcophagus
Fact; IP_SARCOPHAGUS_X2         ;The Stranger;Subterranean Lake; Talk to the Prisoner
Fact; IP_SARCOPHAGUS_X3         ;The Stranger;Subterranean Lake; Vision Prisoner Story
Fact; IP_SARCOPHAGUS_X4         ;The Stranger;Subterranean Lake; Vision Hearthian Story
Fact; IP_SARCOPHAGUS_X5         ;The Stranger;Subterranean Lake; Vision Prisoner goodbye
Fact; IP_DREAM_ZONE_1_X1        ;The Stranger;Shrouded Woodlands; Reach Shrouded Woodlands (Trigger house exit)
Fact; IP_DREAM_ZONE_1_X3        ;The Stranger;Shrouded Woodlands; Find the Bridge to the Wood
Fact; IP_DREAM_ZONE_1_X2        ;The Stranger;Shrouded Woodlands; Hear the Music in the Wood
Fact; IP_DREAM_LIBRARY_1_X1     ;The Stranger;Shrouded Woodlands; Archive; Reach Shrouded Woodland's Archive (Trigger elevator shaft)
Fact; IP_DREAM_LIBRARY_1_X2     ;The Stranger;Shrouded Woodlands; Archive; Open Burned Code
Fact; IP_DREAM_1_STORY_X1       ;The Stranger;Shrouded Woodlands; Archive; Reel Story 1 (Start - 2/71)
Fact; IP_DREAM_1_STORY_X2       ;The Stranger;Shrouded Woodlands; Archive; Reel Story 1 (Stranger Construction Complete - 55/71)
Fact; IP_DREAM_1_RULE_X1        ;The Stranger;Shrouded Woodlands; Archive; Reel Bug Raft (End - 54/54)
Fact; IP_DREAM_ZONE_2_X1        ;The Stranger;Starlit Cove; Reach Starlit Cove (Trigger house exit)
Fact; IP_DREAM_ZONE_2_X2        ;The Stranger;Starlit Cove; Find the Alarm (trigger in the Cave)
Fact; IP_DREAM_ZONE_2_X3        ;The Stranger;Starlit Cove; Find the Burned Building
Fact; IP_DREAM_ZONE_2_X4        ;The Stranger;Starlit Cove; Enter the Tower Room
Fact; IP_DREAM_LIBRARY_2_X1     ;The Stranger;Starlit Cove; Archive; Reach Starlit Cove's Archive (Trigger elevator shaft)
Fact; IP_DREAM_LIBRARY_2_X2     ;The Stranger;Starlit Cove; Archive; Open Burned Code
Fact; IP_DREAM_2_STORY_X1       ;The Stranger;Starlit Cove; Archive; Reel Story 2 (Start 2/99)
Fact; IP_DREAM_2_STORY_X2       ;The Stranger;Starlit Cove; Archive; Reel Story 2 (Eye blocked 88/99)
Fact; IP_DREAM_2_RULE_X1        ;The Stranger;Starlit Cove; Archive; Reel Bug Death (Old Elk Lantern Lights Up 80/93)
Fact; IP_DREAM_2_RULE_X2        ;The Stranger;Starlit Cove; Archive; Reel Bug Alarm (Elk Red Text 75/78)
Fact; IP_DREAM_ZONE_3_X1        ;The Stranger;Endless Canyon; Reach Endless Canyon (Trigger house exit)
Fact; IP_DREAM_ZONE_3_X2        ;The Stranger;Endless Canyon; Find the Painting at the Bottom of the Lodge
Fact; IP_DREAM_LIBRARY_3_X1     ;The Stranger;Endless Canyon; Archive; Reach Endless Canyon's Archive (Trigger elevator shaft)
Fact; IP_DREAM_LIBRARY_3_X2     ;The Stranger;Endless Canyon; Archive; Open Burned Code
Fact; IP_DREAM_3_STORY_X1       ;The Stranger;Endless Canyon; Archive; Reel Story 3 (Start 2/84)
Fact; IP_DREAM_3_STORY_X2       ;The Stranger;Endless Canyon; Archive; Reel Story 3 (Finish Building Simulation 53/84)
Fact; IP_DREAM_3_RULE_X1        ;The Stranger;Endless Canyon; Archive; Reel Bug Matrix (Elk Red Text 28/38)
